Id,District,Address,Number,Area,Rent,Bedrooms,Sq.Mt,Floor,Outer,Elevator,Penthouse,Cottage,Duplex,Semidetached,Cluster
914,Salamanca,Piso en calle de Velázquez,,Recoletos,2200,2.0,140,6.0,1.0,1.0,0,0,0,0,1
915,Salamanca,Piso en Lista,,Lista,1600,2.0,130,1.0,1.0,1.0,0,0,0,0,1
916,Salamanca,Piso en calle de Padilla,18,Castellana,4725,3.0,170,1.0,1.0,1.0,0,0,0,0,1
917,Salamanca,Piso en calle del General Pardiñas,26,Goya,2970,2.0,112,4.0,1.0,1.0,0,0,0,0,1
918,Salamanca,Piso en calle de Don Ramón de la Cruz,93,Lista,2430,2.0,47,5.0,0.0,1.0,0,0,0,0,5
919,Salamanca,Piso en calle de Lagasca,117,Castellana,2295,2.0,58,4.0,0.0,1.0,0,0,0,0,5
920,Salamanca,Piso en Diego de León,57,Lista,2970,2.0,125,3.0,1.0,1.0,0,0,0,0,1
921,Salamanca,Piso en Espartinas,8,Goya,2970,2.0,123,4.0,1.0,1.0,0,0,0,0,1
922,Salamanca,Piso en Castellana,,Castellana,3900,5.0,300,4.0,1.0,1.0,0,0,0,0,1
923,Salamanca,Piso en antonio acuña,8,Goya,3240,2.0,90,1.0,1.0,1.0,0,0,0,0,1
924,Salamanca,Piso en calle de claudio coello,50,Recoletos,4320,2.0,125,6.0,1.0,1.0,0,0,0,0,1
925,Salamanca,Piso en calle de claudio coello,50,Recoletos,2565,1.0,42,5.0,1.0,1.0,0,0,0,0,1
926,Salamanca,Piso en calle de claudio coello,23,Recoletos,4185,2.0,106,3.0,1.0,1.0,0,0,0,0,1
927,Salamanca,Piso en calle de castelló,117,Castellana,2160,1.0,55,8.0,1.0,1.0,0,0,0,0,1
928,Salamanca,Piso en calle de castelló,107,Castellana,3240,2.0,100,5.0,0.0,1.0,0,0,0,0,5
929,Salamanca,Piso en calle de núñez de balboa,22,Recoletos,2160,1.0,50,7.0,0.0,1.0,0,0,0,0,5
930,Salamanca,Piso en calle de lagasca,53,Recoletos,4455,2.0,120,1.0,1.0,1.0,0,0,0,0,1
931,Salamanca,Piso en calle de velázquez,26,Recoletos,2160,1.0,70,3.0,0.0,1.0,0,0,0,0,5
932,Salamanca,Piso en calle de Claudio Coello,,Castellana,3500,4.0,328,3.0,1.0,1.0,0,0,0,0,1
933,Salamanca,Piso en calle de Núñez de Balboa,,Castellana,3500,5.0,240,1.0,1.0,1.0,0,0,0,0,1
934,Salamanca,Ático en Goya,,Goya,3500,2.0,110,5.0,1.0,1.0,1,0,0,0,2
935,Salamanca,Piso en Lista,,Lista,3300,4.0,200,2.0,1.0,1.0,0,0,0,0,1
936,Salamanca,Ático en Castellana,,Castellana,1200,1.0,70,6.0,1.0,1.0,1,0,0,0,2
937,Salamanca,Piso en calle de José Ortega y Gasset,90,Lista,1700,3.0,115,2.0,1.0,1.0,0,0,0,0,1
938,Salamanca,Piso en calle del General Díaz Porlier,,Goya,1400,2.0,75,2.0,1.0,1.0,0,0,0,0,1
939,Salamanca,Piso en Goya,,Goya,1250,2.0,100,5.0,1.0,1.0,0,0,0,0,1
940,Salamanca,Piso en avenida de Baviera,1,Guindalera,2200,4.0,180,8.0,1.0,1.0,0,0,0,0,1
941,Salamanca,Piso en calle de Velázquez,113,Castellana,2300,4.0,140,6.0,1.0,1.0,0,0,0,0,1
942,Salamanca,Piso en calle de Alcalá,,Recoletos,3500,3.0,224,2.0,1.0,1.0,0,0,0,0,1
943,Salamanca,Estudio en calle de Ayala,30,Recoletos,900,,30,2.0,0.0,1.0,0,0,0,0,5
944,Salamanca,Piso en Castellana,,Castellana,4200,4.0,247,3.0,1.0,1.0,0,0,0,0,1
945,Salamanca,Piso en calle de Velázquez,,Recoletos,2900,3.0,170,2.0,1.0,1.0,0,0,0,0,1
946,Salamanca,Ático en Serrano,,Recoletos,4300,3.0,200,4.0,1.0,1.0,1,0,0,0,2
947,Salamanca,Ático en conde de peñalver,,Goya,2950,3.0,250,6.0,1.0,1.0,1,0,0,0,2
948,Salamanca,Piso en Recoletos,,Recoletos,7000,3.0,155,2.0,1.0,1.0,0,0,0,0,1
949,Salamanca,Piso en Recoletos,,Recoletos,2500,2.0,89,3.0,1.0,1.0,0,0,0,0,1
950,Salamanca,Ático en Castellana,,Castellana,2250,2.0,100,6.0,1.0,1.0,1,0,0,0,2
951,Salamanca,Piso en Lista,,Lista,1700,1.0,112,7.0,1.0,1.0,0,0,0,0,1
952,Salamanca,Piso en Recoletos,,Recoletos,9000,8.0,450,3.0,1.0,1.0,0,0,0,0,1
953,Salamanca,Piso en Recoletos,,Recoletos,6000,8.0,380,2.0,1.0,1.0,0,0,0,0,1
954,Salamanca,Ático en Goya,,Goya,3000,3.0,128,6.0,1.0,1.0,1,0,0,0,2
955,Salamanca,Piso en Recoletos,,Recoletos,3500,4.0,210,2.0,1.0,1.0,0,0,0,0,1
956,Salamanca,Piso en calle de Antonio Acuña,,Goya,2800,2.0,130,2.0,1.0,1.0,0,0,0,0,1
957,Salamanca,Piso en Bocángel,,Fuente del Berro,1050,2.0,75,0.0,0.0,1.0,0,0,0,0,5
958,Salamanca,Piso en calle de Hermosilla,,Goya,2400,2.0,105,6.0,1.0,1.0,0,0,0,0,1
959,Salamanca,Piso en calle de velázquez,,Recoletos,2900,3.0,160,2.0,1.0,1.0,0,0,0,0,1
960,Salamanca,Piso en calle Velazquez,,Recoletos,1300,1.0,70,6.0,1.0,1.0,0,0,0,0,1
961,Salamanca,Ático en Príncipe de Vergara,17,Recoletos,2900,3.0,185,8.0,1.0,1.0,1,0,0,0,2
962,Salamanca,Piso en calle de Villanueva,,Recoletos,1400,1.0,60,5.0,1.0,1.0,0,0,0,0,1
963,Salamanca,Piso en Velázquez,,Recoletos,2000,1.0,85,9.0,1.0,1.0,0,0,0,0,1
964,Salamanca,Piso en calle de Hermosilla,,Goya,1300,2.0,60,2.0,0.0,1.0,0,0,0,0,5
965,Salamanca,Piso en Conde de Peñalver,88,Lista,1200,2.0,80,3.0,1.0,1.0,0,0,0,0,1
966,Salamanca,Piso en Goya,,Goya,1000,1.0,70,4.0,1.0,1.0,0,0,0,0,1
967,Salamanca,Piso en calle de Velázquez,,Recoletos,2900,3.0,160,2.0,1.0,1.0,0,0,0,0,1
968,Salamanca,Piso en calle calle fernan gonzalez,,Goya,1650,3.0,140,4.0,1.0,1.0,0,0,0,0,1
969,Salamanca,Ático en calle Espartinas,,Goya,3500,2.0,110,5.0,1.0,1.0,1,0,0,0,2
970,Salamanca,Piso en calle del General Pardiñas,,Goya,2500,3.0,120,2.0,1.0,1.0,0,0,0,0,1
971,Salamanca,Dúplex en Alcantara,21,Goya,2800,2.0,140,1.0,1.0,0.0,0,0,1,0,1
972,Salamanca,Ático en calle de Ayala,3,Recoletos,2300,2.0,130,6.0,1.0,1.0,1,0,0,0,2
973,Salamanca,Dúplex en calle Villalar,,Recoletos,2950,2.0,140,5.0,1.0,1.0,0,0,1,0,1
974,Salamanca,Piso en Goya,,Goya,1500,2.0,78,3.0,1.0,1.0,0,0,0,0,1
975,Salamanca,Piso en Goya,,Goya,1950,2.0,90,6.0,1.0,1.0,0,0,0,0,1
976,Salamanca,Piso en calle de Maldonado,,Lista,3300,4.0,254,2.0,1.0,1.0,0,0,0,0,1
977,Salamanca,Piso en calle del jardín de san federico,,Goya,1370,1.0,50,0.5,1.0,,0,0,0,0,1
978,Salamanca,Piso en calle del General Pardiñas,65,Lista,1800,2.0,85,1.0,1.0,1.0,0,0,0,0,1
979,Salamanca,Piso en calle Recoletos,,Recoletos,2200,2.0,100,3.0,1.0,1.0,0,0,0,0,1
980,Salamanca,Piso en calle de Lagasca,117,Castellana,1850,3.0,100,3.0,1.0,1.0,0,0,0,0,1
981,Salamanca,Ático en Castellana,,Castellana,2100,2.0,100,6.0,1.0,1.0,1,0,0,0,2
